Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
1.814,5.06659894659052,0.3393018548162104,0.4,-0.0020943658164786507,1.4386433427918184,1.0313101111987446,0.9606831103440842,0.9653110495714353,0.9611521861725912
1.816,4.991462446548052,0.33796833683500904,0.4,-0.002079832485556591,1.437963011298574,1.0311316696390567,0.9605168247262933,0.9651639138032959,0.9609905216953416
1.818,4.916854710437801,0.33664877831935364,0.4,-0.002064990590869791,1.4373231092327543,1.0309529788781273,0.9603507776220435,0.9650172348024254,0.9608292427462891
1.82,4.842786787088632,0.3353433496444493,0.4,-0.002049843442703995,1.4367233965508603,1.0307740614226708,0.9601849946064084,0.9648710360042114,0.9606683747062764
1.822,4.769269605452836,0.33405221791779244,0.4,-0.0020343943904555725,1.4361636285629562,1.0305949398245864,0.9600195011993617,0.9647253407428051,0.9605079428702521
1.824,4.696313973211959,0.33277554697175166,0.4,-0.0020186468218635054,1.4356435560217407,1.0304156366720185,0.9598543228560749,0.9645801722429161,0.9603479724380676
1.826,4.623930575410317,0.33151349735701496,0.4,-0.002002604162239815,1.435162925213309,1.0302361745804156,0.9596894849572447,0.9644355536116461,0.9601884885053134
1.828,4.5521299731162435,0.33026622633688824,0.4,-0.001986269873698633,1.4347214780495239,1.0300565761835907,0.9595250127994602,0.9642915078303695,0.9600295160541974
1.83,4.480922602111102,0.3290338878824348,0.4,-0.0019696474543841134,1.434318952161946,1.0298768641247902,0.9593609315856111,0.9641480577466632,0.9598710799444727
1.832,4.410318771606122,0.32781663266843614,0.4,-0.0019527404376973817,1.4339550809972308,1.0296970610477754,0.959197266415343,0.9640052260662908,0.959713204904418
1.834,4.340328662987075,0.32661460807016757,0.4,-0.0019355523915227089,1.4336295939139567,1.0295171895879283,0.9590340422755711,0.9638630353452455,0.9595559155218784
1.836,4.2709623285868155,0.3254279581609694,0.4,-0.0019180869174531014,1.433342216280783,1.0293372723633774,0.9588712840310494,0.9637215079818583,0.9593992362353694
1.838,4.202229690485715,0.3242568237106009,0.4,-0.0019003476500154895,1.433092669575891,1.029157331966158,0.9587090164150082,0.9635806662089721,0.9592431913252516
1.84,4.134140539339989,0.32310134218435904,0.4,-0.0018823382558956975,1.4328806714876299,1.0289773909534072,0.9585472640198605,0.9634405320861898,0.959087804904978
1.842,4.066704533237933,0.3219616477429552,0.4,-0.0018640624331633705,1.432705936016303,1.0287974718386008,0.9583860512879849,0.9633011274921972,0.9589331009124211
1.844,3.9999311965840456,0.32083787124312324,0.4,-0.0018455239104970334,1.432568173577023,1.0286175970828382,0.9582254025025913,0.9631624741171695,0.9587791031012859
1.846,3.933829919011065,0.3197301402389546,0.4,-0.0018267264464094533,1.4324670911035666,1.0284377890861773,0.9580653417786692,0.9630245934552586,0.9586258350326073
1.848,3.868409954319862,0.3186385789839361,0.4,-0.00180767382847347,1.4324023921531612,1.02825807017903,0.9579058930540323,0.9628875067971738,0.9584733200663463
1.85,3.8036804194472102,0.3175633084336805,0.4,-0.0017883698725484599,1.43237377701214,1.0280784626136168,0.9577470800804568,0.9627512352228523,0.9583215813530808
1.852,3.7396502934613807,0.3165044462493299,0.4,-0.0017688184220075905,1.4323809428023853,1.0278989885554906,0.9575889264149202,0.9626157995942274,0.9581706418257988
1.854,3.6763284165855397,0.31546210680162173,0.4,-0.0017490233469660236,1.4324235835885053,1.027719670075133,0.9574314554109489,0.9624812205480974,0.958020524191801
1.856,3.6137234892489145,0.3144364011755932,0.4,-0.0017289885435102172,1.4325013904856672,1.027540529139627,0.9572746902100744,0.9623475184890985,0.9578712509247115
1.858,3.5518440711656813,0.31342743717591387,0.4,-0.0017087179329284756,1.4326140517680241,1.0273615876044102,0.9571186537334058,0.962214713582786,0.9577228442566066
1.86,3.4906985804415265,0.31243531933283175,0.4,-0.0016882154609428907,1.4327612529776677,1.0271828672051175,0.9569633686733214,0.9620828257488254,0.9575753261702608
