Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
4.806,7.547823207867963,0.7717305255428434,0.0019053526147995534,0.955159983721601,0.9226958982510757,0.9486474804609654,0.9349372650015199
4.808,7.615299202591958,0.773225865003521,0.0018432722220243227,0.955086556109236,0.922658476691167,0.9486458006980867,0.9349208792217848
4.81,7.680535867135021,0.774671187927829,0.001780946771858304,0.9550152637127264,0.9226219274846946,0.9486438733084431,0.9349046931962113
4.812,7.743524529637047,0.7760663394894728,0.0017183846133764103,0.9549461465610636,0.9225862929698926,0.9486417293533266,0.9348887439933883
4.814,7.804256819263034,0.7774111708408803,0.0016555941209591583,0.9548792434585295,0.9225516142089993,0.9486393989683516,0.9348730675711608
4.816,7.862724667096362,0.7787055390678888,0.0015925836932998358,0.9548145919632238,0.9225179309634779,0.9486369113441224,0.9348576987542244
4.818,7.918920306996181,0.7799493071452389,0.001529361752419431,0.9547522283662874,0.9224852816700433,0.9486342947075371,0.9348426712124539
4.82,7.972836276419642,0.7811423438929743,0.0014659367426887399,0.9546921876718347,0.9224537034175079,0.9486315763037363,0.9348280174399757
4.822,8.024465417208898,0.7822845239338283,0.0014023171298578273,0.954634503577603,0.9224232319244557,0.9486287823787052,0.9348137687349942
4.824,8.073800876343537,0.7833757276516987,0.0013385114000922182,0.9545792084563307,0.922393901517761,0.9486259381625405,0.9347999551803837
4.826,8.120836106658203,0.7844158411512816,0.0012745280590161973,0.9545263333378732,0.9223657451119557,0.9486230678533825,0.9347866056250527
4.828,8.16556486752602,0.7854047562189513,0.0012103756307625647,0.9544759078920658,0.9223387941894629,0.9486201946020282,0.9347737476660907
4.83,8.207981225507833,0.786342370284966,0.0011460626570289705,0.9544279604123429,0.9223130787817014,0.9486173404972273,0.9347614076317086
4.832,8.248079554967743,0.7872285863870754,0.00108159769614015,0.9543825178001217,0.922288627451075,0.9486145265516702,0.9347496105649757
4.834,8.285854538654837,0.7880633131355972,0.0010169893221163872,0.9543396055499562,0.92226546727385,0.9486117726886713,0.9347383802083661
4.836,8.32130116825156,0.7888464646800367,0.0009522461237474991,0.9542992477354741,0.9222436238239352,0.9486090977295585,0.9347277389891193
4.838,8.354414744888789,0.7895779606773151,0.0008873767036724239,0.9542614669960999,0.9222231211575712,0.9486065193817719,0.934717708005422
4.84,8.38519087962799,0.7902577262616637,0.0008223896774636776,0.9542262845245688,0.922203981798933,0.9486040542276757,0.9347083070134198
4.842,8.413625493910363,0.7908856920162491,0.0007572936727169733,0.954193720055246,0.9221862267266584,0.948601717714092,0.9346995544150618
4.844,8.439714819973391,0.7914617939465816,0.0006920973281452488,0.9541637918532482,0.922169875361304,0.9485995241425575,0.9346914672467865
4.846,8.463455401234766,0.7919859734557542,0.0006268092926771477,0.954136516704379,0.922154945553742,0.9485974866603122,0.9346840611690547
